fid,nom_festival,domaine,complement_domaine,mois_habituel,site_web,latitude,longitude,com_code,com_name,dep_name,dep_code
"26",Au pont du rock,Musiques actuelles,Musiques amplifiées ou électroniques,août,www.aupontdurock.com,"47.818081","-2.375322","56124",Malestroit,Morbihan,"56"
"27",Algues au rythme,Musiques actuelles,Musiques amplifiées ou électroniques,mai,www.alguesaurythme.com,"47.626467","-2.829548","56003",Arradon,Morbihan,"56"
"28",Samain festival,Musiques actuelles,Musiques amplifiées ou électroniques,octobre,samainfest.bzh,"48.216245","-1.754773","35177",La Mézière,Ille-et-Vilaine,"35"
"29",Mots zik sous les pins,Musiques actuelles,Musiques amplifiées ou électroniques,novembre,https://www.festival-mots-zik.com,"47.686336","-2.217004","56221",Saint-Jacut-les-Pins,Morbihan,"56"
"30",Festival de bugueles,Musiques actuelles,Musiques amplifiées ou électroniques,juillet,https://www.festivaldebugueles.fr/,"48.8347797","-3.2869292","22166",Penvénan,Côtes-d'Armor,"22"
"31",Jeudis du port,Musiques actuelles,Musiques amplifiées ou électroniques,juillet,https://www.brest.fr/brest-fr-accueil-3.html,"48.384101","-4.494002","29019",Brest,Finistère,"29"
"32",Les sons d'automne a quessoy,Musiques actuelles,Musiques amplifiées ou électroniques,novembre,https://lessonsdautomne.wordpress.com,"48.413706","-2.673388","22258",Quessoy,Côtes-d'Armor,"22"
"33",L'eveil du boucan,Musiques actuelles,Musiques amplifiées ou électroniques,avril,http://www.noznroll.org,"47.658932","-2.751678","56260",Vannes,Morbihan,"56"
"34",Festival de la mer,Musiques actuelles,Musiques amplifiées ou électroniques,juillet,http://www.festivaldelamer.com,"48.532609","-4.726692","29109",Landunvez,Finistère,"29"
"35",Dooinit festival,Musiques actuelles,Musiques amplifiées ou électroniques,avril,http://www.dooinit-festival.com,"48.092837","-1.640834","35238",Rennes,Ille-et-Vilaine,"35"
"36",Le chant de l eucalyptus,Musiques actuelles,Musiques amplifiées ou électroniques,juillet,http://www.chant-eucalyptus.com,"47.689096","-3.261562","56169",Plouhinec,Morbihan,"56"
"37",Festival de bobital l'armor a sons,Musiques actuelles,Musiques amplifiées ou électroniques,juillet,http://www.bobital-festival.fr,"48.407238","-2.100006","22008",Bobital,Côtes-d'Armor,"22"
"38",Rock'n solex,Musiques actuelles,Musiques amplifiées ou électroniques,mai,http://rocknsolex.fr,"48.120799","-1.635791","35238",Rennes,Ille-et-Vilaine,"35"
"39",Festival agrock,Musiques actuelles,Musiques amplifiées ou électroniques,janvier,http://festival-agrock.fr/Views/home.php,"48.113596","-1.70527","35238",Rennes,Ille-et-Vilaine,"35"
"40",Big love,Musiques actuelles,Musiques amplifiées ou électroniques,juin,http://crabcakecorporation.com,"48.132144","-1.698974","35238",Rennes,Ille-et-Vilaine,"35"
"41",Belle ile on air,Musiques actuelles,Musiques amplifiées ou électroniques,août,http://belleileonair.org,"47.342517","-3.157371","56152",Le Palais,Morbihan,"56"
"42",Vinicircus festival,Transdisciplinaire,Musiques actuelles et vins naturels,avril,http://www.vinicircus.com,"48.299572","-1.716383","35128",Guipel,Ille-et-Vilaine,"35"
"43",Etonnants voyageurs,Transdisciplinaire,Livre et cinéma,juin,http://www.etonnants-voyageurs.com/,"48.650917","-2.023584","35288",Saint-Malo,Ille-et-Vilaine,"35"
